rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
9,Gekko,0.95,14.2,15.0,5.1,0.498,0.046,191,134609,e8,act2,ascendant3
10,Viper,1.02,15.1,14.8,5.2,0.498,0.057,204,167425,e8,act2,ascendant3
11,Sova,0.99,14.6,14.7,5.6,0.497,0.078,201,231436,e8,act2,ascendant3
12,Fade,0.99,14.7,15.0,6.7,0.494,0.013,200,38801,e8,act2,ascendant3
13,Jett,1.08,17.4,16.1,3.3,0.493,0.15,237,443539,e8,act2,ascendant3
14,Astra,1.05,15.5,14.8,7.2,0.493,0.011,209,31303,e8,act2,ascendant3
15,Skye,0.97,14.6,15.1,7.4,0.493,0.038,199,111071,e8,act2,ascendant3
16,Raze,1.04,16.8,16.2,4.3,0.491,0.081,237,239761,e8,act2,ascendant3
17,Chamber,1.11,16.8,15.1,2.8,0.49,0.05,222,146762,e8,act2,ascendant3
18,Omen,1.0,15.0,15.1,7.9,0.489,0.098,203,289742,e8,act2,ascendant3
19,Yoru,1.03,16.4,15.9,4.2,0.478,0.017,223,51707,e8,act2,ascendant3
20,Neon,0.97,16.2,16.6,4.2,0.476,0.006,223,16697,e8,act2,ascendant3
21,Breach,0.94,14.4,15.3,7.7,0.475,0.016,196,47270,e8,act2,ascendant3
22,Iso,1.03,16.8,16.3,4.0,0.452,0.005,231,14119,e8,act2,ascendant3
23,Harbor,0.94,14.4,15.3,5.9,0.45,0.003,195,9713,e8,act2,ascendant3
24,KAY/O,0.93,14.5,15.6,9.5,0.443,0.017,203,50531,e8,act2,ascendant3
1,Clove,0.96,17.2,17.9,7.5,0.512,0.001,234,3833,e8,act2,ascendant2
2,Brimstone,0.99,14.7,14.9,9.3,0.512,0.029,206,123579,e8,act2,ascendant2
3,Sage,0.96,14.4,15.0,6.9,0.51,0.027,198,118837,e8,act2,ascendant2
4,Phoenix,1.1,17.3,15.7,4.6,0.509,0.022,238,93323,e8,act2,ascendant2
5,Reyna,1.12,17.6,15.8,4.1,0.501,0.102,239,440676,e8,act2,ascendant2
6,Deadlock,1.03,15.5,15.0,4.3,0.5,0.008,207,34547,e8,act2,ascendant2
7,Sova,0.99,14.6,14.7,5.6,0.498,0.076,200,326943,e8,act2,ascendant2
8,Astra,1.05,15.5,14.8,7.1,0.497,0.011,208,47498,e8,act2,ascendant2
9,Cypher,1.02,14.9,14.6,4.6,0.497,0.092,200,398599,e8,act2,ascendant2
10,Killjoy,1.03,15.0,14.6,3.3,0.496,0.038,203,165871,e8,act2,ascendant2
11,Gekko,0.95,14.2,15.0,5.1,0.496,0.047,190,204681,e8,act2,ascendant2
12,Viper,1.01,15.0,14.8,5.2,0.495,0.057,204,245448,e8,act2,ascendant2
13,Jett,1.08,17.4,16.1,3.3,0.492,0.142,237,613258,e8,act2,ascendant2
14,Raze,1.03,16.7,16.2,4.3,0.492,0.079,236,342178,e8,act2,ascendant2
15,Skye,0.96,14.6,15.2,7.3,0.491,0.037,199,161373,e8,act2,ascendant2
16,Fade,0.98,14.7,15.0,6.7,0.49,0.014,199,59683,e8,act2,ascendant2
17,Omen,0.99,15.0,15.1,7.7,0.49,0.098,203,425971,e8,act2,ascendant2
18,Chamber,1.11,16.7,15.1,2.9,0.489,0.052,222,224068,e8,act2,ascendant2
19,Yoru,1.02,16.2,15.9,4.2,0.478,0.017,221,73969,e8,act2,ascendant2
20,Neon,0.97,16.1,16.6,4.3,0.476,0.006,222,27219,e8,act2,ascendant2
21,Breach,0.94,14.4,15.3,7.5,0.472,0.017,197,75475,e8,act2,ascendant2
22,Iso,1.03,16.7,16.2,4.0,0.454,0.006,231,23891,e8,act2,ascendant2
23,Harbor,0.93,14.2,15.3,5.9,0.45,0.004,193,16729,e8,act2,ascendant2
24,KAY/O,0.92,14.5,15.6,9.3,0.447,0.019,203,82026,e8,act2,ascendant2
1,Clove,0.96,17.1,17.8,7.4,0.522,0.001,235,4295,e8,act2,ascendant1
2,Brimstone,0.98,14.6,14.9,9.2,0.511,0.03,205,167489,e8,act2,ascendant1
3,Sage,0.95,14.3,15.0,6.9,0.508,0.032,196,180198,e8,act2,ascendant1
4,Deadlock,1.03,15.4,15.0,4.2,0.505,0.008,206,45872,e8,act2,ascendant1
5,Phoenix,1.1,17.2,15.7,4.6,0.505,0.022,237,126647,e8,act2,ascendant1
6,Reyna,1.12,17.6,15.8,4.2,0.502,0.1,240,565241,e8,act2,ascendant1
7,Sova,0.99,14.6,14.7,5.5,0.497,0.072,200,406921,e8,act2,ascendant1
8,Viper,1.01,14.9,14.8,5.2,0.497,0.056,203,316455,e8,act2,ascendant1
9,Cypher,1.01,14.8,14.6,4.6,0.496,0.091,199,512145,e8,act2,ascendant1
10,Gekko,0.94,14.1,15.0,5.1,0.496,0.048,190,273053,e8,act2,ascendant1
11,Skye,0.96,14.5,15.1,7.3,0.494,0.037,198,211126,e8,act2,ascendant1
12,Fade,0.97,14.6,15.0,6.6,0.492,0.014,198,80145,e8,act2,ascendant1
13,Jett,1.08,17.3,16.1,3.4,0.492,0.135,237,760938,e8,act2,ascendant1
14,Astra,1.04,15.4,14.8,6.9,0.492,0.012,208,65443,e8,act2,ascendant1
15,Killjoy,1.02,14.9,14.6,3.3,0.492,0.038,201,215399,e8,act2,ascendant1
16,Raze,1.03,16.7,16.2,4.4,0.489,0.077,235,434996,e8,act2,ascendant1
17,Chamber,1.1,16.7,15.1,2.9,0.489,0.052,222,295372,e8,act2,ascendant1
18,Omen,0.99,14.9,15.1,7.5,0.489,0.099,203,558487,e8,act2,ascendant1
19,Breach,0.94,14.4,15.3,7.4,0.477,0.019,197,104784,e8,act2,ascendant1
20,Yoru,1.02,16.2,15.9,4.2,0.476,0.017,222,94803,e8,act2,ascendant1
21,Neon,0.97,16.0,16.5,4.2,0.467,0.007,222,37787,e8,act2,ascendant1
22,Iso,1.02,16.6,16.2,4.0,0.454,0.006,229,33841,e8,act2,ascendant1
23,Harbor,0.93,14.2,15.4,5.9,0.45,0.004,193,24695,e8,act2,ascendant1
24,KAY/O,0.92,14.4,15.6,9.2,0.448,0.021,202,118329,e8,act2,ascendant1
1,Clove,0.97,17.1,17.7,7.2,0.523,0.001,236,4765,e8,act2,diamond3
2,Phoenix,1.1,17.2,15.6,4.6,0.509,0.024,238,155868,e8,act2,diamond3
3,Brimstone,0.98,14.6,14.9,9.1,0.508,0.031,205,202815,e8,act2,diamond3
4,Sage,0.94,14.1,15.0,6.9,0.508,0.037,195,240728,e8,act2,diamond3
5,Reyna,1.12,17.6,15.7,4.2,0.503,0.1,241,659787,e8,act2,diamond3
6,Gekko,0.94,14.1,15.0,5.1,0.499,0.05,190,325851,e8,act2,diamond3
7,Cypher,1.01,14.8,14.6,4.6,0.498,0.089,198,586597,e8,act2,diamond3
